DATE/TIME;SYMBOL;OPEN;HIGH;LOW;CLOSE;EVOL % CLOSE/HIGH
2021-09-14T00:00:00+00:00;BNBHEDGE/USD;11,79200000;11,87000000;11,30300000;11,30700000;-4,29
2021-09-13T00:00:00+00:00;BNBHEDGE/USD;11,29800000;11,99500000;11,21800000;11,79200000;4,19
2021-09-12T00:00:00+00:00;BNBHEDGE/USD;11,60600000;11,81500000;11,16800000;11,31100000;-2,61
2021-09-11T00:00:00+00:00;BNBHEDGE/USD;11,76500000;11,80000000;11,35200000;11,60600000;-1,37
2021-09-10T00:00:00+00:00;BNBHEDGE/USD;11,19300000;11,90600000;10,77000000;11,76500000;4,86
2021-09-09T00:00:00+00:00;BNBHEDGE/USD;11,34600000;11,63700000;10,85500000;11,19300000;-1,37
2021-09-08T00:00:00+00:00;BNBHEDGE/USD;11,36500000;12,14300000;11,11000000;11,34600000;-0,17
2021-09-07T00:00:00+00:00;BNBHEDGE/USD;9,76900000;12,03900000;9,62100000;11,36500000;14,04
2021-09-06T00:00:00+00:00;BNBHEDGE/USD;9,62600000;9,87100000;9,54500000;9,76900000;1,46
2021-09-05T00:00:00+00:00;BNBHEDGE/USD;9,76000000;9,90100000;9,61600000;9,62600000;-1,39
2021-09-04T00:00:00+00:00;BNBHEDGE/USD;9,90500000;9,96100000;9,50000000;9,76000000;-1,49
2021-09-03T00:00:00+00:00;BNBHEDGE/USD;9,99500000;10,19500000;9,82300000;9,90500000;-0,91
2021-09-02T00:00:00+00:00;BNBHEDGE/USD;9,91000000;10,07300000;9,59900000;9,99500000;0,85
2021-09-01T00:00:00+00:00;BNBHEDGE/USD;10,44600000;10,64300000;9,90500000;9,91000000;-5,41
2021-08-31T00:00:00+00:00;BNBHEDGE/USD;10,55300000;10,72600000;10,17400000;10,44600000;-1,02
2021-08-30T00:00:00+00:00;BNBHEDGE/USD;10,18300000;10,61300000;10,14900000;10,55300000;3,51
2021-08-29T00:00:00+00:00;BNBHEDGE/USD;10,05000000;10,20000000;9,84200000;10,18300000;1,31
2021-08-28T00:00:00+00:00;BNBHEDGE/USD;9,88500000;10,07500000;9,83400000;10,05000000;1,64
2021-08-27T00:00:00+00:00;BNBHEDGE/USD;10,19400000;10,41900000;9,87400000;9,88500000;-3,13
