Timestamp,Open,High,Low,Close,Volume
2023-01-14 00:00:00,4.606,5.335,4.594,5.06,3856227.04
2023-01-15 00:00:00,5.06,5.447,4.929,5.148,3290233.24
2023-01-16 00:00:00,5.148,5.28,4.821,5.03,1792951.61
2023-01-17 00:00:00,5.031,5.473,4.919,5.091,1721433.04
2023-01-18 00:00:00,5.09,5.58,4.915,4.945,2668946.79
2023-01-19 00:00:00,4.945,5.162,4.865,5.144,1446893.76
2023-01-20 00:00:00,5.144,5.616,4.921,5.497,2111542.24
2023-01-21 00:00:00,5.494,5.717,5.395,5.416,2195894.8
2023-01-22 00:00:00,5.416,5.991,5.324,5.542,2631849.72
2023-01-23 00:00:00,5.54,6.135,5.54,5.804,2170095.9
2023-01-24 00:00:00,5.806,5.978,5.46,5.516,1498639.6
2023-01-25 00:00:00,5.514,5.938,5.385,5.761,1515099.24
2023-01-26 00:00:00,5.761,6.056,5.722,5.83,1671477.01
2023-01-27 00:00:00,5.829,6.18,5.592,6.065,1821990.76
2023-01-28 00:00:00,6.066,6.11,5.8,6.089,1194038.6
2023-01-29 00:00:00,6.088,6.277,6.007,6.239,1669728.77
2023-01-30 00:00:00,6.239,6.259,5.6,5.776,1518824.2
2023-01-31 00:00:00,5.777,5.952,5.639,5.871,1167980.93
2023-02-01 00:00:00,5.868,6.189,5.64,6.058,2298053.25
2023-02-02 00:00:00,6.06,6.15,5.726,5.783,2231884.32
2023-02-03 00:00:00,5.781,5.904,5.726,5.865,1139913.43
2023-02-04 00:00:00,5.864,5.973,5.761,5.795,908993.38
2023-02-05 00:00:00,5.795,5.961,5.556,5.621,1472241.04
2023-02-06 00:00:00,5.621,5.691,5.374,5.446,1082056.36
2023-02-07 00:00:00,5.446,5.887,5.428,5.849,1810897.65
2023-02-08 00:00:00,5.847,5.983,5.615,5.725,1426692.89
2023-02-09 00:00:00,5.724,5.754,4.961,5.08,1949712.79
2023-02-10 00:00:00,5.079,5.193,4.988,5.072,1121511.58
2023-02-11 00:00:00,5.072,5.285,5.035,5.268,716297.72
2023-02-12 00:00:00,5.268,5.709,5.192,5.51,1875546.95
2023-02-13 00:00:00,5.508,5.651,5.168,5.345,2087558.09
2023-02-14 00:00:00,5.341,5.559,5.273,5.532,1295514.51
2023-02-15 00:00:00,5.531,6.061,5.494,6.031,1516417.81
2023-02-16 00:00:00,6.032,6.264,5.8,5.936,2493108.38
2023-02-17 00:00:00,5.935,7.809,5.915,7.313,8522852.29
2023-02-18 00:00:00,7.311,7.675,7.03,7.051,2952223.37
2023-02-19 00:00:00,7.051,8.239,7.05,7.348,5994242.21
2023-02-20 00:00:00,7.348,7.52,7.12,7.324,3095277.97
2023-02-21 00:00:00,7.323,7.361,6.732,6.889,2557510.51
2023-02-22 00:00:00,6.888,7.315,6.466,6.731,3510330.46
2023-02-23 00:00:00,6.725,6.964,6.556,6.682,1845772.87
